year,iso_code,country,prices,units,value
2015,AFG,Afghanistan,current,USD million,27.4164
2015,AGO,Angola,current,USD million,6512.9693
2015,ALB,Albania,current,USD million,589.2756
2015,ARG,Argentina,current,USD million,11510.9338
2015,ARM,Armenia,current,USD million,359.8178
2015,AZE,Azerbaijan,current,USD million,791.9118
2015,BDI,Burundi,current,USD million,9.4117
2015,BEN,Benin,current,USD million,69.3273
2015,BFA,Burkina Faso,current,USD million,98.1661
2015,BGD,Bangladesh,current,USD million,1295.3516
2015,BGR,Bulgaria,current,USD million,399.4133
2015,BIH,Bosnia and Herzegovina,current,USD million,397.4104
2015,BLR,Belarus,current,USD million,3263.6212
2015,BLZ,Belize,current,USD million,76.9912
2015,BOL,Bolivia,current,USD million,526.0224
2015,BRA,Brazil,current,USD million,28824.7917
2015,BTN,Bhutan,current,USD million,127.3927
2015,BWA,Botswana,current,USD million,156.5338
2015,CAF,Central African Republic,current,USD million,3.4315
2015,CHN,China,current,USD million,34621.8223
2015,CIV,Cote d'Ivoire,current,USD million,398.0749
2015,CMR,Cameroon,current,USD million,385.4533
2015,COD,"Congo, Dem. Rep.",current,USD million,304.9984
2015,COG,"Congo, Rep.",current,USD million,404.8031
2015,COL,Colombia,current,USD million,4857.5256
2015,COM,Comoros,current,USD million,7.057
2015,CPV,Cabo Verde,current,USD million,41.5096
2015,CRI,Costa Rica,current,USD million,1141.2532
2015,DJI,Djibouti,current,USD million,42.6645
2015,DMA,Dominica,current,USD million,21.1166
2015,DOM,Dominican Republic,current,USD million,3531.4402
2015,DZA,Algeria,current,USD million,187.9466
2015,ECU,Ecuador,current,USD million,3172.4442
2015,EGY,"Egypt, Arab Rep.",current,USD million,3576.3665
2015,ERI,Eritrea,current,USD million,32.5707
2015,ETH,Ethiopia,current,USD million,1058.934
2015,FJI,Fiji,current,USD million,315.5023
2015,GAB,Gabon,current,USD million,466.7573
2015,GEO,Georgia,current,USD million,600.8861
2015,GHA,Ghana,current,USD million,931.7077
2015,GIN,Guinea,current,USD million,45.4586
2015,GMB,"Gambia, The",current,USD million,35.2619
2015,GNB,Guinea-Bissau,current,USD million,4.8059
2015,GRD,Grenada,current,USD million,22.269
2015,GTM,Guatemala,current,USD million,637.9514
2015,GUY,Guyana,current,USD million,45.6048
2015,HND,Honduras,current,USD million,331.3984
2015,HTI,Haiti,current,USD million,34.9169
2015,IDN,Indonesia,current,USD million,14228.4712
2015,IND,India,current,USD million,13672.5351
2015,IRN,"Iran, Islamic Rep.",current,USD million,690.1042
2015,IRQ,Iraq,current,USD million,1283.6854
2015,JAM,Jamaica,current,USD million,1133.7538
2015,JOR,Jordan,current,USD million,1794.8921
2015,KAZ,Kazakhstan,current,USD million,863.469
2015,KEN,Kenya,current,USD million,679.9003
2015,KGZ,Kyrgyz Republic,current,USD million,117.3313
2015,KHM,Cambodia,current,USD million,136.6318
2015,LAO,Lao PDR,current,USD million,249.0278
2015,LBN,Lebanon,current,USD million,3909.992
2015,LBR,Liberia,current,USD million,5.1446
2015,LCA,St. Lucia,current,USD million,66.0991
2015,LKA,Sri Lanka,current,USD million,2448.4526
2015,LSO,Lesotho,current,USD million,51.5885
2015,MAR,Morocco,current,USD million,2550.2545
2015,MDA,Moldova,current,USD million,55.5616
2015,MDG,Madagascar,current,USD million,120.0767
2015,MDV,Maldives,current,USD million,94.935
2015,MEX,Mexico,current,USD million,26184.4621
2015,MKD,North Macedonia,current,USD million,404.3274
2015,MLI,Mali,current,USD million,104.701
2015,MMR,Myanmar,current,USD million,482.1844
2015,MNE,Montenegro,current,USD million,475.4344
2015,MNG,Mongolia,current,USD million,156.0023
2015,MOZ,Mozambique,current,USD million,410.992
2015,MRT,Mauritania,current,USD million,235.643
2015,MUS,Mauritius,current,USD million,118.6674
2015,MWI,Malawi,current,USD million,45.9423
2015,NER,Niger,current,USD million,77.3284
2015,NGA,Nigeria,current,USD million,397.1819
2015,NIC,Nicaragua,current,USD million,132.4339
2015,NPL,Nepal,current,USD million,197.4124
2015,PAK,Pakistan,current,USD million,3172.876
2015,PER,Peru,current,USD million,1717.3265
2015,PHL,Philippines,current,USD million,5584.2374
2015,PNG,Papua New Guinea,current,USD million,87.3535
2015,PRY,Paraguay,current,USD million,317.925
2015,RUS,Russian Federation,current,USD million,47153.435
2015,RWA,Rwanda,current,USD million,56.5739
2015,SDN,Sudan,current,USD million,514.1635
2015,SEN,Senegal,current,USD million,240.1233
2015,SLB,Solomon Islands,current,USD million,6.4512
2015,SLE,Sierra Leone,current,USD million,21.5418
2015,SLV,El Salvador,current,USD million,899.6029
2015,SOM,Somalia,current,USD million,0.0
2015,SRB,Serbia,current,USD million,1420.9001
2015,STP,Sao Tome and Principe,current,USD million,1.7535
2015,SUR,Suriname,current,USD million,52.3611
2015,SWZ,Eswatini,current,USD million,33.8724
2015,SYR,Syrian Arab Republic,current,USD million,0.0
2015,TCD,Chad,current,USD million,100.211
2015,TGO,Togo,current,USD million,43.5388
2015,THA,Thailand,current,USD million,2133.9949
2015,TJK,Tajikistan,current,USD million,126.1041
2015,TKM,Turkmenistan,current,USD million,1455.7078
2015,TLS,Timor-Leste,current,USD million,0.302
2015,TON,Tonga,current,USD million,6.4299
2015,TUN,Tunisia,current,USD million,1587.2345
2015,TUR,Turkiye,current,USD million,10930.891
2015,TZA,Tanzania,current,USD million,345.7808
2015,UGA,Uganda,current,USD million,86.3194
2015,UKR,Ukraine,current,USD million,14947.843
2015,UZB,Uzbekistan,current,USD million,358.182
2015,VCT,St. Vincent and the Grenadines,current,USD million,32.4656
2015,VNM,Viet Nam,current,USD million,2832.7746
2015,VUT,Vanuatu,current,USD million,6.2885
2015,WSM,Samoa,current,USD million,19.3587
2015,XKX,Kosovo,current,USD million,23.8465
2015,YEM,"Yemen, Rep.",current,USD million,356.0379
2015,ZAF,South Africa,current,USD million,15888.4044
2015,ZMB,Zambia,current,USD million,344.7602
2015,ZWE,Zimbabwe,current,USD million,157.0519
2016,AFG,Afghanistan,current,USD million,30.2699
2016,AGO,Angola,current,USD million,9330.7684
2016,ALB,Albania,current,USD million,274.9307
2016,ARG,Argentina,current,USD million,17667.2478
2016,ARM,Armenia,current,USD million,195.8481
2016,AZE,Azerbaijan,current,USD million,995.0965
2016,BDI,Burundi,current,USD million,15.2758
2016,BEN,Benin,current,USD million,88.5197
2016,BFA,Burkina Faso,current,USD million,106.1998
2016,BGD,Bangladesh,current,USD million,1228.506
2016,BGR,Bulgaria,current,USD million,521.1914
2016,BIH,Bosnia and Herzegovina,current,USD million,331.7044
2016,BLR,Belarus,current,USD million,3058.8427
2016,BLZ,Belize,current,USD million,84.8352
2016,BOL,Bolivia,current,USD million,464.3995
2016,BRA,Brazil,current,USD million,24520.2559
2016,BTN,Bhutan,current,USD million,75.8368
2016,BWA,Botswana,current,USD million,159.7862
2016,CAF,Central African Republic,current,USD million,5.8271
2016,CHN,China,current,USD million,18509.1834
2016,CIV,Cote d'Ivoire,current,USD million,1040.5513
2016,CMR,Cameroon,current,USD million,445.2722
2016,COD,"Congo, Dem. Rep.",current,USD million,351.3168
2016,COG,"Congo, Rep.",current,USD million,354.9558
2016,COL,Colombia,current,USD million,5842.6069
2016,COM,Comoros,current,USD million,4.537
2016,CPV,Cabo Verde,current,USD million,43.7023
2016,CRI,Costa Rica,current,USD million,1044.1776
