year,iso_code,country,debt_type,prices,units,value
2015,SWZ,Eswatini,Multilateral,constant,USD million,15.9405
2015,TCD,Chad,Multilateral,constant,USD million,24.6405
2015,TGO,Togo,Multilateral,constant,USD million,50.1733
2015,THA,Thailand,Multilateral,constant,USD million,23.604
2015,TJK,Tajikistan,Multilateral,constant,USD million,36.2214
2015,TKM,Turkmenistan,Multilateral,constant,USD million,35.287
2015,TLS,Timor-Leste,Multilateral,constant,USD million,22.126
2015,TUN,Tunisia,Multilateral,constant,USD million,1389.1374
2015,TUR,Turkiye,Multilateral,constant,USD million,2440.5448
2015,TZA,Tanzania,Multilateral,constant,USD million,15.6334
2015,UGA,Uganda,Multilateral,constant,USD million,44.5003
2015,UKR,Ukraine,Multilateral,constant,USD million,1782.1986
2015,UZB,Uzbekistan,Multilateral,constant,USD million,574.589
2015,VCT,St. Vincent and the Grenadines,Multilateral,constant,USD million,15.218
2015,VNM,Viet Nam,Multilateral,constant,USD million,1367.8567
2015,WSM,Samoa,Multilateral,constant,USD million,1.477
2015,XKX,Kosovo,Multilateral,constant,USD million,4.959
2015,YEM,"Yemen, Rep.",Multilateral,constant,USD million,51.917
2015,ZAF,South Africa,Multilateral,constant,USD million,500.2837
2015,ZMB,Zambia,Multilateral,constant,USD million,30.6059
2015,ZWE,Zimbabwe,Multilateral,constant,USD million,200.3606
2016,AFG,Afghanistan,Multilateral,constant,USD million,9.6258
2016,AGO,Angola,Multilateral,constant,USD million,456.6706
2016,ALB,Albania,Multilateral,constant,USD million,66.9844
2016,ARG,Argentina,Multilateral,constant,USD million,2625.0249
2016,ARM,Armenia,Multilateral,constant,USD million,435.1069
2016,AZE,Azerbaijan,Multilateral,constant,USD million,1552.3825
2016,BEN,Benin,Multilateral,constant,USD million,52.1736
2016,BFA,Burkina Faso,Multilateral,constant,USD million,23.8693
2016,BGD,Bangladesh,Multilateral,constant,USD million,785.6685
2016,BGR,Bulgaria,Multilateral,constant,USD million,686.2485
2016,BIH,Bosnia and Herzegovina,Multilateral,constant,USD million,342.9523
2016,BLR,Belarus,Multilateral,constant,USD million,1163.513
2016,BLZ,Belize,Multilateral,constant,USD million,34.324
2016,BOL,Bolivia,Multilateral,constant,USD million,817.0233
2016,BRA,Brazil,Multilateral,constant,USD million,2229.727
2016,BTN,Bhutan,Multilateral,constant,USD million,10.8475
2016,BWA,Botswana,Multilateral,constant,USD million,35.1801
2016,CHN,China,Multilateral,constant,USD million,3210.7217
2016,CIV,Cote d'Ivoire,Multilateral,constant,USD million,35.2805
2016,CMR,Cameroon,Multilateral,constant,USD million,81.8071
2016,COD,"Congo, Dem. Rep.",Multilateral,constant,USD million,17.0966
2016,COG,"Congo, Rep.",Multilateral,constant,USD million,48.8208
2016,COL,Colombia,Multilateral,constant,USD million,3407.546
2016,CPV,Cabo Verde,Multilateral,constant,USD million,31.8566
2016,CRI,Costa Rica,Multilateral,constant,USD million,582.7534
2016,DJI,Djibouti,Multilateral,constant,USD million,45.1894
2016,DMA,Dominica,Multilateral,constant,USD million,3.8766
2016,DOM,Dominican Republic,Multilateral,constant,USD million,494.5619
2016,DZA,Algeria,Multilateral,constant,USD million,1059.7665
2016,ECU,Ecuador,Multilateral,constant,USD million,1100.2157
2016,EGY,"Egypt, Arab Rep.",Multilateral,constant,USD million,5243.2319
2016,ETH,Ethiopia,Multilateral,constant,USD million,23.4858
2016,FJI,Fiji,Multilateral,constant,USD million,49.729
2016,GAB,Gabon,Multilateral,constant,USD million,42.5818
2016,GEO,Georgia,Multilateral,constant,USD million,292.2388
2016,GHA,Ghana,Multilateral,constant,USD million,100.495
2016,GIN,Guinea,Multilateral,constant,USD million,17.562
2016,GMB,"Gambia, The",Multilateral,constant,USD million,1.5552
2016,GNB,Guinea-Bissau,Multilateral,constant,USD million,11.1503
2016,GRD,Grenada,Multilateral,constant,USD million,9.3487
2016,GTM,Guatemala,Multilateral,constant,USD million,57.5113
2016,GUY,Guyana,Multilateral,constant,USD million,9.6561
2016,HND,Honduras,Multilateral,constant,USD million,139.0599
2016,HTI,Haiti,Multilateral,constant,USD million,8.892
2016,IDN,Indonesia,Multilateral,constant,USD million,2887.9921
2016,IND,India,Multilateral,constant,USD million,3713.3863
2016,IRN,"Iran, Islamic Rep.",Multilateral,constant,USD million,11.8079
2016,IRQ,Iraq,Multilateral,constant,USD million,1849.8966
2016,JAM,Jamaica,Multilateral,constant,USD million,271.7414
2016,JOR,Jordan,Multilateral,constant,USD million,587.4215
2016,KAZ,Kazakhstan,Multilateral,constant,USD million,1969.8108
2016,KEN,Kenya,Multilateral,constant,USD million,296.3716
2016,KGZ,Kyrgyz Republic,Multilateral,constant,USD million,17.5388
2016,KHM,Cambodia,Multilateral,constant,USD million,6.9498
2016,LAO,Lao PDR,Multilateral,constant,USD million,11.8446
2016,LBN,Lebanon,Multilateral,constant,USD million,171.2522
2016,LBR,Liberia,Multilateral,constant,USD million,2.8811
2016,LCA,St. Lucia,Multilateral,constant,USD million,4.1921
2016,LKA,Sri Lanka,Multilateral,constant,USD million,647.3184
2016,LSO,Lesotho,Multilateral,constant,USD million,23.4249
2016,MAR,Morocco,Multilateral,constant,USD million,1838.0665
2016,MDA,Moldova,Multilateral,constant,USD million,134.0141
2016,MDG,Madagascar,Multilateral,constant,USD million,2.5937
2016,MDV,Maldives,Multilateral,constant,USD million,0.2484
2016,MEX,Mexico,Multilateral,constant,USD million,1690.8079
2016,MKD,North Macedonia,Multilateral,constant,USD million,106.8008
