year,iso_code,country,prices,units,value
2015,AFG,Afghanistan,constant,USD million,3.9092
2015,AGO,Angola,constant,USD million,460.271
2015,ALB,Albania,constant,USD million,58.6522
2015,ARG,Argentina,constant,USD million,1753.3138
2015,ARM,Armenia,constant,USD million,372.1054
2015,AZE,Azerbaijan,constant,USD million,573.4179
2015,BEN,Benin,constant,USD million,64.2652
2015,BFA,Burkina Faso,constant,USD million,18.8041
2015,BGD,Bangladesh,constant,USD million,486.2052
2015,BGR,Bulgaria,constant,USD million,256.725
2015,BIH,Bosnia and Herzegovina,constant,USD million,330.8285
2015,BLR,Belarus,constant,USD million,103.8092
2015,BLZ,Belize,constant,USD million,39.2441
2015,BOL,Bolivia,constant,USD million,859.1797
2015,BRA,Brazil,constant,USD million,2318.2921
2015,BTN,Bhutan,constant,USD million,21.867
2015,BWA,Botswana,constant,USD million,7.545
2015,CHN,China,constant,USD million,2719.4626
2015,CIV,Cote d'Ivoire,constant,USD million,23.3561
2015,CMR,Cameroon,constant,USD million,59.5959
2015,COD,"Congo, Dem. Rep.",constant,USD million,62.3324
2015,COG,"Congo, Rep.",constant,USD million,9.974
2015,COL,Colombia,constant,USD million,2344.252
2015,CPV,Cabo Verde,constant,USD million,48.5385
2015,CRI,Costa Rica,constant,USD million,445.669
2015,DJI,Djibouti,constant,USD million,37.0259
2015,DMA,Dominica,constant,USD million,11.533
2015,DOM,Dominican Republic,constant,USD million,760.4139
2015,ECU,Ecuador,constant,USD million,2101.5062
2015,EGY,"Egypt, Arab Rep.",constant,USD million,1802.4081
2015,ETH,Ethiopia,constant,USD million,7.749
2015,FJI,Fiji,constant,USD million,0.993
2015,GAB,Gabon,constant,USD million,40.7497
2015,GEO,Georgia,constant,USD million,352.9695
2015,GHA,Ghana,constant,USD million,235.3529
2015,GIN,Guinea,constant,USD million,10.4676
2015,GMB,"Gambia, The",constant,USD million,12.8228
2015,GNB,Guinea-Bissau,constant,USD million,44.4823
2015,GRD,Grenada,constant,USD million,25.924
2015,GTM,Guatemala,constant,USD million,702.2003
2015,GUY,Guyana,constant,USD million,19.499
2015,HND,Honduras,constant,USD million,275.3916
2015,HTI,Haiti,constant,USD million,7.265
2015,IDN,Indonesia,constant,USD million,3972.1179
2015,IND,India,constant,USD million,3344.9831
2015,IRN,"Iran, Islamic Rep.",constant,USD million,9.8642
2015,IRQ,Iraq,constant,USD million,1207.846
2015,JAM,Jamaica,constant,USD million,320.779
2015,JOR,Jordan,constant,USD million,571.0103
2015,KAZ,Kazakhstan,constant,USD million,1375.043
2015,KEN,Kenya,constant,USD million,8.0588
2015,KGZ,Kyrgyz Republic,constant,USD million,14.0824
2015,KHM,Cambodia,constant,USD million,8.457
2015,LAO,Lao PDR,constant,USD million,0.001
2015,LBN,Lebanon,constant,USD million,102.3719
2015,LBR,Liberia,constant,USD million,19.1492
2015,LCA,St. Lucia,constant,USD million,5.738
2015,LKA,Sri Lanka,constant,USD million,430.0223
2015,LSO,Lesotho,constant,USD million,40.9804
2015,MAR,Morocco,constant,USD million,1654.8306
2015,MDA,Moldova,constant,USD million,100.6328
2015,MDG,Madagascar,constant,USD million,3.317
2015,MDV,Maldives,constant,USD million,3.471
2015,MEX,Mexico,constant,USD million,1506.783
2015,MKD,North Macedonia,constant,USD million,188.7201
2015,MLI,Mali,constant,USD million,23.8997
2015,MNE,Montenegro,constant,USD million,22.5899
2015,MNG,Mongolia,constant,USD million,116.713
2015,MOZ,Mozambique,constant,USD million,10.0214
2015,MRT,Mauritania,constant,USD million,212.4741
2015,MUS,Mauritius,constant,USD million,1.4203
2015,MWI,Malawi,constant,USD million,4.276
2015,NER,Niger,constant,USD million,199.9683
2015,NGA,Nigeria,constant,USD million,523.1186
2015,NIC,Nicaragua,constant,USD million,233.065
2015,NPL,Nepal,constant,USD million,7.018
2015,PAK,Pakistan,constant,USD million,2548.6317
2015,PER,Peru,constant,USD million,1225.0685
2015,PHL,Philippines,constant,USD million,1844.233
2015,PNG,Papua New Guinea,constant,USD million,72.507
2015,PRY,Paraguay,constant,USD million,182.8745
2015,RUS,Russian Federation,constant,USD million,80.535
2015,RWA,Rwanda,constant,USD million,9.145
2015,SDN,Sudan,constant,USD million,179.148
2015,SEN,Senegal,constant,USD million,7.2037
2015,SLE,Sierra Leone,constant,USD million,8.342
2015,SLV,El Salvador,constant,USD million,349.8713
2015,SRB,Serbia,constant,USD million,911.0139
2015,SUR,Suriname,constant,USD million,59.034
2015,SWZ,Eswatini,constant,USD million,15.9405
2015,TCD,Chad,constant,USD million,24.6405
2015,TGO,Togo,constant,USD million,50.1733
2015,THA,Thailand,constant,USD million,23.604
2015,TJK,Tajikistan,constant,USD million,36.2214
2015,TKM,Turkmenistan,constant,USD million,35.287
2015,TLS,Timor-Leste,constant,USD million,22.126
2015,TUN,Tunisia,constant,USD million,1389.1374
2015,TUR,Turkiye,constant,USD million,2440.5448
2015,TZA,Tanzania,constant,USD million,15.6334
2015,UGA,Uganda,constant,USD million,44.5003
2015,UKR,Ukraine,constant,USD million,1782.1986
2015,UZB,Uzbekistan,constant,USD million,574.589
2015,VCT,St. Vincent and the Grenadines,constant,USD million,15.218
2015,VNM,Viet Nam,constant,USD million,1367.8567
2015,WSM,Samoa,constant,USD million,1.477
2015,XKX,Kosovo,constant,USD million,4.959
2015,YEM,"Yemen, Rep.",constant,USD million,51.917
2015,ZAF,South Africa,constant,USD million,500.2837
2015,ZMB,Zambia,constant,USD million,30.6059
2015,ZWE,Zimbabwe,constant,USD million,200.3606
2016,AFG,Afghanistan,constant,USD million,9.6258
2016,AGO,Angola,constant,USD million,456.6706
2016,ALB,Albania,constant,USD million,66.9844
2016,ARG,Argentina,constant,USD million,2625.0249
2016,ARM,Armenia,constant,USD million,435.1069
2016,AZE,Azerbaijan,constant,USD million,1552.3825
2016,BEN,Benin,constant,USD million,52.1736
2016,BFA,Burkina Faso,constant,USD million,23.8693
2016,BGD,Bangladesh,constant,USD million,785.6685
2016,BGR,Bulgaria,constant,USD million,686.2485
2016,BIH,Bosnia and Herzegovina,constant,USD million,342.9523
2016,BLR,Belarus,constant,USD million,1163.513
2016,BLZ,Belize,constant,USD million,34.324
2016,BOL,Bolivia,constant,USD million,817.0233
2016,BRA,Brazil,constant,USD million,2229.727
2016,BTN,Bhutan,constant,USD million,10.8475
2016,BWA,Botswana,constant,USD million,35.1801
2016,CHN,China,constant,USD million,3210.7217
2016,CIV,Cote d'Ivoire,constant,USD million,35.2805
2016,CMR,Cameroon,constant,USD million,81.8071
2016,COD,"Congo, Dem. Rep.",constant,USD million,17.0966
2016,COG,"Congo, Rep.",constant,USD million,48.8208
2016,COL,Colombia,constant,USD million,3407.546
2016,CPV,Cabo Verde,constant,USD million,31.8566
2016,CRI,Costa Rica,constant,USD million,582.7534
2016,DJI,Djibouti,constant,USD million,45.1894
2016,DMA,Dominica,constant,USD million,3.8766
2016,DOM,Dominican Republic,constant,USD million,494.5619
2016,DZA,Algeria,constant,USD million,1059.7665
2016,ECU,Ecuador,constant,USD million,1100.2157
2016,EGY,"Egypt, Arab Rep.",constant,USD million,5243.2319
2016,ETH,Ethiopia,constant,USD million,23.4858
2016,FJI,Fiji,constant,USD million,49.729
2016,GAB,Gabon,constant,USD million,42.5818
2016,GEO,Georgia,constant,USD million,292.2388
2016,GHA,Ghana,constant,USD million,100.495
2016,GIN,Guinea,constant,USD million,17.562
2016,GMB,"Gambia, The",constant,USD million,1.5552
2016,GNB,Guinea-Bissau,constant,USD million,11.1503
2016,GRD,Grenada,constant,USD million,9.3487
2016,GTM,Guatemala,constant,USD million,57.5113
2016,GUY,Guyana,constant,USD million,9.6561
2016,HND,Honduras,constant,USD million,139.0599
2016,HTI,Haiti,constant,USD million,8.892
2016,IDN,Indonesia,constant,USD million,2887.9921
2016,IND,India,constant,USD million,3713.3863
2016,IRN,"Iran, Islamic Rep.",constant,USD million,11.8079
2016,IRQ,Iraq,constant,USD million,1849.8966
2016,JAM,Jamaica,constant,USD million,271.7414
2016,JOR,Jordan,constant,USD million,587.4215
2016,KAZ,Kazakhstan,constant,USD million,1969.8108
2016,KEN,Kenya,constant,USD million,296.3716
2016,KGZ,Kyrgyz Republic,constant,USD million,17.5388
2016,KHM,Cambodia,constant,USD million,6.9498
2016,LAO,Lao PDR,constant,USD million,11.8446
2016,LBN,Lebanon,constant,USD million,171.2522
2016,LBR,Liberia,constant,USD million,2.8811
2016,LCA,St. Lucia,constant,USD million,4.1921
2016,LKA,Sri Lanka,constant,USD million,647.3184
2016,LSO,Lesotho,constant,USD million,23.4249
2016,MAR,Morocco,constant,USD million,1838.0665
2016,MDA,Moldova,constant,USD million,134.0141
2016,MDG,Madagascar,constant,USD million,2.5937
2016,MDV,Maldives,constant,USD million,0.2484
2016,MEX,Mexico,constant,USD million,1690.8079
2016,MKD,North Macedonia,constant,USD million,106.8008
2016,MLI,Mali,constant,USD million,29.3566
2016,MMR,Myanmar,constant,USD million,0.9386
2016,MNE,Montenegro,constant,USD million,42.2892
2016,MNG,Mongolia,constant,USD million,104.0719
2016,MOZ,Mozambique,constant,USD million,11.1508
2016,MRT,Mauritania,constant,USD million,251.0341
2016,MUS,Mauritius,constant,USD million,45.4167
2016,MWI,Malawi,constant,USD million,4.7387
2016,NER,Niger,constant,USD million,51.1863
2016,NGA,Nigeria,constant,USD million,520.6695
2016,NIC,Nicaragua,constant,USD million,235.4251
2016,NPL,Nepal,constant,USD million,7.7168
2016,PAK,Pakistan,constant,USD million,2230.7886
2016,PER,Peru,constant,USD million,834.8507
2016,PHL,Philippines,constant,USD million,956.1212
2016,PNG,Papua New Guinea,constant,USD million,120.3858
2016,PRY,Paraguay,constant,USD million,383.0191
2016,RUS,Russian Federation,constant,USD million,79.0474
2016,RWA,Rwanda,constant,USD million,15.7511
2016,SDN,Sudan,constant,USD million,69.9515
2016,SEN,Senegal,constant,USD million,176.0217
2016,SLE,Sierra Leone,constant,USD million,3.6823
2016,SLV,El Salvador,constant,USD million,373.6602
2016,SRB,Serbia,constant,USD million,645.3554
2016,SUR,Suriname,constant,USD million,227.5493
2016,SWZ,Eswatini,constant,USD million,33.1063
2016,TCD,Chad,constant,USD million,51.9532
2016,TGO,Togo,constant,USD million,72.4584
2016,THA,Thailand,constant,USD million,2.8914
2016,TJK,Tajikistan,constant,USD million,34.8749
2016,TKM,Turkmenistan,constant,USD million,113.1588
2016,TLS,Timor-Leste,constant,USD million,21.7586
2016,TUN,Tunisia,constant,USD million,1170.7441
2016,TUR,Turkiye,constant,USD million,3120.713
2016,TZA,Tanzania,constant,USD million,23.1419
2016,UGA,Uganda,constant,USD million,19.5398
2016,UKR,Ukraine,constant,USD million,667.6163
2016,UZB,Uzbekistan,constant,USD million,414.6621
2016,VCT,St. Vincent and the Grenadines,constant,USD million,7.4004
2016,VNM,Viet Nam,constant,USD million,1293.1502
2016,WSM,Samoa,constant,USD million,3.0869
2016,XKX,Kosovo,constant,USD million,5.9316
2016,YEM,"Yemen, Rep.",constant,USD million,21.2421
2016,ZAF,South Africa,constant,USD million,549.728
2016,ZMB,Zambia,constant,USD million,53.3943
2016,ZWE,Zimbabwe,constant,USD million,15.1425
2017,AGO,Angola,constant,USD million,147.6929
2017,ALB,Albania,constant,USD million,291.042
2017,ARG,Argentina,constant,USD million,2954.8283
2017,ARM,Armenia,constant,USD million,345.5565
2017,AZE,Azerbaijan,constant,USD million,1598.8866
2017,BEN,Benin,constant,USD million,76.944
2017,BFA,Burkina Faso,constant,USD million,35.0293
2017,BGD,Bangladesh,constant,USD million,750.0954
2017,BGR,Bulgaria,constant,USD million,180.7905
2017,BIH,Bosnia and Herzegovina,constant,USD million,216.2014
2017,BLR,Belarus,constant,USD million,1051.87
2017,BLZ,Belize,constant,USD million,43.7114
2017,BOL,Bolivia,constant,USD million,1041.9281
2017,BRA,Brazil,constant,USD million,2339.2929
2017,BTN,Bhutan,constant,USD million,34.7202
2017,BWA,Botswana,constant,USD million,4.2418
2017,CHN,China,constant,USD million,3602.7349
2017,CIV,Cote d'Ivoire,constant,USD million,163.8936
2017,CMR,Cameroon,constant,USD million,284.5556
2017,COD,"Congo, Dem. Rep.",constant,USD million,233.9343
2017,COG,"Congo, Rep.",constant,USD million,370.5714
2017,COL,Colombia,constant,USD million,1441.6636
2017,CPV,Cabo Verde,constant,USD million,34.7073
2017,CRI,Costa Rica,constant,USD million,369.1207
2017,DJI,Djibouti,constant,USD million,22.0753
2017,DMA,Dominica,constant,USD million,1.607
2017,DOM,Dominican Republic,constant,USD million,237.0832
2017,ECU,Ecuador,constant,USD million,978.6806
2017,EGY,"Egypt, Arab Rep.",constant,USD million,5477.0034
2017,ETH,Ethiopia,constant,USD million,174.8784
