year,iso_code,country,debt_type,prices,units,value
2015,AFG,Afghanistan,Multilateral,current,USD million,3.9092
2015,AGO,Angola,Multilateral,current,USD million,460.271
2015,ALB,Albania,Multilateral,current,USD million,58.6522
2015,ARG,Argentina,Multilateral,current,USD million,1753.3138
2015,ARM,Armenia,Multilateral,current,USD million,372.1054
2015,AZE,Azerbaijan,Multilateral,current,USD million,573.4179
2015,BEN,Benin,Multilateral,current,USD million,64.2652
2015,BFA,Burkina Faso,Multilateral,current,USD million,18.8041
2015,BGD,Bangladesh,Multilateral,current,USD million,486.2052
2015,BGR,Bulgaria,Multilateral,current,USD million,256.725
2015,BIH,Bosnia and Herzegovina,Multilateral,current,USD million,330.8285
2015,BLR,Belarus,Multilateral,current,USD million,103.8092
2015,BLZ,Belize,Multilateral,current,USD million,39.2441
2015,BOL,Bolivia,Multilateral,current,USD million,859.1797
2015,BRA,Brazil,Multilateral,current,USD million,2318.2921
2015,BTN,Bhutan,Multilateral,current,USD million,21.867
2015,BWA,Botswana,Multilateral,current,USD million,7.545
2015,CHN,China,Multilateral,current,USD million,2719.4626
2015,CIV,Cote d'Ivoire,Multilateral,current,USD million,23.3561
2015,CMR,Cameroon,Multilateral,current,USD million,59.5959
2015,COD,"Congo, Dem. Rep.",Multilateral,current,USD million,62.3324
2015,COG,"Congo, Rep.",Multilateral,current,USD million,9.974
2015,COL,Colombia,Multilateral,current,USD million,2344.252
2015,CPV,Cabo Verde,Multilateral,current,USD million,48.5385
2015,CRI,Costa Rica,Multilateral,current,USD million,445.669
2015,DJI,Djibouti,Multilateral,current,USD million,37.0259
2015,DMA,Dominica,Multilateral,current,USD million,11.533
2015,DOM,Dominican Republic,Multilateral,current,USD million,760.4139
2015,ECU,Ecuador,Multilateral,current,USD million,2101.5062
2015,EGY,"Egypt, Arab Rep.",Multilateral,current,USD million,1802.4081
2015,ETH,Ethiopia,Multilateral,current,USD million,7.749
2015,FJI,Fiji,Multilateral,current,USD million,0.993
2015,GAB,Gabon,Multilateral,current,USD million,40.7497
2015,GEO,Georgia,Multilateral,current,USD million,352.9695
2015,GHA,Ghana,Multilateral,current,USD million,235.3529
2015,GIN,Guinea,Multilateral,current,USD million,10.4676
2015,GMB,"Gambia, The",Multilateral,current,USD million,12.8228
2015,GNB,Guinea-Bissau,Multilateral,current,USD million,44.4823
2015,GRD,Grenada,Multilateral,current,USD million,25.924
2015,GTM,Guatemala,Multilateral,current,USD million,702.2003
2015,GUY,Guyana,Multilateral,current,USD million,19.499
2015,HND,Honduras,Multilateral,current,USD million,275.3916
2015,HTI,Haiti,Multilateral,current,USD million,7.265
