year,iso_code,country,debt_type,prices,units,value
2015,AGO,Angola,Bilateral,constant,USD million,596.5667
2015,ALB,Albania,Bilateral,constant,USD million,55.5494
2015,ARG,Argentina,Bilateral,constant,USD million,1438.3718
2015,ARM,Armenia,Bilateral,constant,USD million,44.8169
2015,AZE,Azerbaijan,Bilateral,constant,USD million,8.9909
2015,BEN,Benin,Bilateral,constant,USD million,8.5083
2015,BFA,Burkina Faso,Bilateral,constant,USD million,61.7732
2015,BGD,Bangladesh,Bilateral,constant,USD million,77.4605
2015,BGR,Bulgaria,Bilateral,constant,USD million,0.0533
2015,BIH,Bosnia and Herzegovina,Bilateral,constant,USD million,14.9162
2015,BLR,Belarus,Bilateral,constant,USD million,2238.815
2015,BLZ,Belize,Bilateral,constant,USD million,10.9421
2015,BOL,Bolivia,Bilateral,constant,USD million,10.4538
2015,BRA,Brazil,Bilateral,constant,USD million,1082.2202
2015,BTN,Bhutan,Bilateral,constant,USD million,270.6354
2015,CHN,China,Bilateral,constant,USD million,67.1661
2015,CIV,Cote d'Ivoire,Bilateral,constant,USD million,1422.7645
2015,CMR,Cameroon,Bilateral,constant,USD million,516.1504
2015,COD,"Congo, Dem. Rep.",Bilateral,constant,USD million,81.34
2015,COG,"Congo, Rep.",Bilateral,constant,USD million,114.6842
2015,COL,Colombia,Bilateral,constant,USD million,422.477
2015,CPV,Cabo Verde,Bilateral,constant,USD million,7.9677
2015,CRI,Costa Rica,Bilateral,constant,USD million,24.6617
2015,DJI,Djibouti,Bilateral,constant,USD million,358.1637
2015,DMA,Dominica,Bilateral,constant,USD million,8.3874
2015,DOM,Dominican Republic,Bilateral,constant,USD million,296.8402
2015,DZA,Algeria,Bilateral,constant,USD million,0.003
2015,ECU,Ecuador,Bilateral,constant,USD million,995.0202
2015,EGY,"Egypt, Arab Rep.",Bilateral,constant,USD million,6215.122
2015,ERI,Eritrea,Bilateral,constant,USD million,9.9172
2015,ETH,Ethiopia,Bilateral,constant,USD million,1444.3138
2015,FJI,Fiji,Bilateral,constant,USD million,26.8727
2015,GAB,Gabon,Bilateral,constant,USD million,153.616
2015,GEO,Georgia,Bilateral,constant,USD million,11.8215
2015,GHA,Ghana,Bilateral,constant,USD million,307.2841
2015,GIN,Guinea,Bilateral,constant,USD million,185.4873
2015,GMB,"Gambia, The",Bilateral,constant,USD million,11.4733
2015,GRD,Grenada,Bilateral,constant,USD million,6.3052
2015,GTM,Guatemala,Bilateral,constant,USD million,21.094
2015,GUY,Guyana,Bilateral,constant,USD million,6.4725
2015,HND,Honduras,Bilateral,constant,USD million,120.1813
2015,IDN,Indonesia,Bilateral,constant,USD million,955.2992
2015,IND,India,Bilateral,constant,USD million,527.7113
2015,IRQ,Iraq,Bilateral,constant,USD million,0.0165
2015,JAM,Jamaica,Bilateral,constant,USD million,35.5375
2015,JOR,Jordan,Bilateral,constant,USD million,324.0755
2015,KEN,Kenya,Bilateral,constant,USD million,968.5072
2015,KGZ,Kyrgyz Republic,Bilateral,constant,USD million,208.633
2015,KHM,Cambodia,Bilateral,constant,USD million,340.3937
2015,LAO,Lao PDR,Bilateral,constant,USD million,634.6194
2015,LBN,Lebanon,Bilateral,constant,USD million,56.5053
2015,LBR,Liberia,Bilateral,constant,USD million,1.215
2015,LCA,St. Lucia,Bilateral,constant,USD million,10.1463
2015,LKA,Sri Lanka,Bilateral,constant,USD million,611.7944
2015,LSO,Lesotho,Bilateral,constant,USD million,16.9621
2015,MAR,Morocco,Bilateral,constant,USD million,666.9864
2015,MDG,Madagascar,Bilateral,constant,USD million,88.915
2015,MDV,Maldives,Bilateral,constant,USD million,15.7982
2015,MEX,Mexico,Bilateral,constant,USD million,153.1741
2015,MKD,North Macedonia,Bilateral,constant,USD million,71.7794
2015,MLI,Mali,Bilateral,constant,USD million,74.9586
2015,MMR,Myanmar,Bilateral,constant,USD million,397.4755
2015,MNE,Montenegro,Bilateral,constant,USD million,209.0157
2015,MNG,Mongolia,Bilateral,constant,USD million,13.4138
2015,MOZ,Mozambique,Bilateral,constant,USD million,387.7718
2015,MRT,Mauritania,Bilateral,constant,USD million,448.8948
2015,MUS,Mauritius,Bilateral,constant,USD million,73.6506
2015,MWI,Malawi,Bilateral,constant,USD million,30.8354
2015,NER,Niger,Bilateral,constant,USD million,6.6558
2015,NGA,Nigeria,Bilateral,constant,USD million,181.59
2015,NIC,Nicaragua,Bilateral,constant,USD million,3.0
2015,NPL,Nepal,Bilateral,constant,USD million,22.0906
2015,PAK,Pakistan,Bilateral,constant,USD million,972.6775
2015,PER,Peru,Bilateral,constant,USD million,95.48
2015,PHL,Philippines,Bilateral,constant,USD million,29.9755
2015,PNG,Papua New Guinea,Bilateral,constant,USD million,88.6879
2015,RWA,Rwanda,Bilateral,constant,USD million,47.6112
2015,SDN,Sudan,Bilateral,constant,USD million,420.4339
2015,SEN,Senegal,Bilateral,constant,USD million,198.3139
2015,SLE,Sierra Leone,Bilateral,constant,USD million,15.8387
2015,SLV,El Salvador,Bilateral,constant,USD million,36.147
2015,SRB,Serbia,Bilateral,constant,USD million,442.4621
2015,SUR,Suriname,Bilateral,constant,USD million,14.9617
2015,SWZ,Eswatini,Bilateral,constant,USD million,27.981
2015,TCD,Chad,Bilateral,constant,USD million,9.846
2015,TGO,Togo,Bilateral,constant,USD million,107.3953
2015,THA,Thailand,Bilateral,constant,USD million,51.3747
2015,TJK,Tajikistan,Bilateral,constant,USD million,205.1204
2015,TKM,Turkmenistan,Bilateral,constant,USD million,821.87
2015,TUN,Tunisia,Bilateral,constant,USD million,283.738
2015,TUR,Turkiye,Bilateral,constant,USD million,313.7913
2015,TZA,Tanzania,Bilateral,constant,USD million,455.292
2015,UGA,Uganda,Bilateral,constant,USD million,400.6659
2015,UKR,Ukraine,Bilateral,constant,USD million,501.5887
2015,UZB,Uzbekistan,Bilateral,constant,USD million,253.6826
2015,VCT,St. Vincent and the Grenadines,Bilateral,constant,USD million,9.2842
2015,VNM,Viet Nam,Bilateral,constant,USD million,1482.5091
2015,VUT,Vanuatu,Bilateral,constant,USD million,81.3802
2015,WSM,Samoa,Bilateral,constant,USD million,11.9056
2015,XKX,Kosovo,Bilateral,constant,USD million,23.0982
2015,ZAF,South Africa,Bilateral,constant,USD million,279.7873
2015,ZMB,Zambia,Bilateral,constant,USD million,493.2668
2015,ZWE,Zimbabwe,Bilateral,constant,USD million,296.7015
2016,AGO,Angola,Bilateral,constant,USD million,1055.2432
2016,ALB,Albania,Bilateral,constant,USD million,54.4392
2016,ARG,Argentina,Bilateral,constant,USD million,298.247
2016,ARM,Armenia,Bilateral,constant,USD million,96.7599
2016,AZE,Azerbaijan,Bilateral,constant,USD million,19.6266
2016,BEN,Benin,Bilateral,constant,USD million,27.7688
2016,BFA,Burkina Faso,Bilateral,constant,USD million,8.6447
2016,BGD,Bangladesh,Bilateral,constant,USD million,339.6522
2016,BIH,Bosnia and Herzegovina,Bilateral,constant,USD million,29.9357
2016,BLR,Belarus,Bilateral,constant,USD million,1281.2092
2016,BLZ,Belize,Bilateral,constant,USD million,10.5756
2016,BOL,Bolivia,Bilateral,constant,USD million,99.832
2016,BRA,Brazil,Bilateral,constant,USD million,332.7273
2016,BTN,Bhutan,Bilateral,constant,USD million,363.0626
2016,CHN,China,Bilateral,constant,USD million,56.438
2016,CIV,Cote d'Ivoire,Bilateral,constant,USD million,352.0543
2016,CMR,Cameroon,Bilateral,constant,USD million,770.7619
2016,COD,"Congo, Dem. Rep.",Bilateral,constant,USD million,7.5367
2016,COG,"Congo, Rep.",Bilateral,constant,USD million,348.0889
2016,COL,Colombia,Bilateral,constant,USD million,473.4204
2016,CPV,Cabo Verde,Bilateral,constant,USD million,1.4993
2016,CRI,Costa Rica,Bilateral,constant,USD million,26.1256
2016,DJI,Djibouti,Bilateral,constant,USD million,412.4476
2016,DOM,Dominican Republic,Bilateral,constant,USD million,64.0571
2016,ECU,Ecuador,Bilateral,constant,USD million,2571.4542
2016,EGY,"Egypt, Arab Rep.",Bilateral,constant,USD million,8566.4112
2016,ERI,Eritrea,Bilateral,constant,USD million,6.0944
2016,ETH,Ethiopia,Bilateral,constant,USD million,1229.3307
2016,FJI,Fiji,Bilateral,constant,USD million,44.2044
2016,GAB,Gabon,Bilateral,constant,USD million,112.9059
2016,GEO,Georgia,Bilateral,constant,USD million,34.2406
2016,GHA,Ghana,Bilateral,constant,USD million,279.2167
2016,GIN,Guinea,Bilateral,constant,USD million,64.3968
2016,GMB,"Gambia, The",Bilateral,constant,USD million,9.5663
2016,GRD,Grenada,Bilateral,constant,USD million,3.1887
2016,GUY,Guyana,Bilateral,constant,USD million,32.6713
2016,HND,Honduras,Bilateral,constant,USD million,39.1252
2016,HTI,Haiti,Bilateral,constant,USD million,1.614
2016,IDN,Indonesia,Bilateral,constant,USD million,807.4453
2016,IND,India,Bilateral,constant,USD million,712.7564
2016,IRN,"Iran, Islamic Rep.",Bilateral,constant,USD million,23.6893
2016,IRQ,Iraq,Bilateral,constant,USD million,2032.2498
2016,JAM,Jamaica,Bilateral,constant,USD million,42.5789
2016,JOR,Jordan,Bilateral,constant,USD million,185.5242
2016,KAZ,Kazakhstan,Bilateral,constant,USD million,349.9844
2016,KEN,Kenya,Bilateral,constant,USD million,1335.4929
2016,KGZ,Kyrgyz Republic,Bilateral,constant,USD million,191.2422
