year,modality,value
2017,A01,2523.4571442474225
2017,A02,1653.3481137119984
2017,B01,3628.225605240369
2017,B03,16912.05178996691
2017,B04,965.8384464812239
2017,C01,76273.23647647843
2017,D01,1807.1494832996982
2017,D02,3568.324474160278
2017,E01,1031.9154366933428
2017,E02,1942.684030445937
2017,F01,679.7366426693739
2017,G01,7764.195058133399
2017,H01,328.0062288645342
2017,H02,14242.298507784475
2017,,-1561.242062976202
2018,A01,1383.0439741744985
2018,A02,2132.8774266470336
2018,B01,3635.480081422994
2018,B03,20011.207723489468
2018,B04,957.7658168480573
2018,C01,78559.00228716187
2018,D01,2457.0822429460472
2018,D02,3406.451052765916
2018,E01,1443.1742591663374
2018,E02,2027.3537867173818
2018,F01,196.41700403210262
2018,G01,7681.129514131692
2018,H01,426.58303903289914
2018,H02,9643.38252243058
2018,H03,443.5588359453713
2018,H04,453.83843242357335
2018,H05,432.2824668544793
2018,,-1339.0570212989683
2019,A01,3128.98558
2019,A02,3051.6226229999997
2019,B01,3551.406739
2019,B03,22323.670685
2019,B04,691.070857
2019,C01,80444.12431
2019,D01,1935.694683
2019,D02,3643.2812890000005
2019,E01,1327.802272
2019,E02,2173.238495
2019,F01,43.378783000000006
2019,G01,8262.685753
2019,H01,392.403789
2019,H02,9285.26405
2019,H03,151.411577
2019,H04,18.098966
2019,H05,746.559162
2019,,-1145.9782050000001
2020,A01,2864.511673080369
2020,A02,5851.142358510279
2020,B01,4349.926253561237
2020,B03,22421.512566799916
2020,B04,568.783262774453
2020,C01,84785.94582626839
2020,D01,1583.9164745810338
2020,D02,2714.8174672476925
2020,E01,1160.0891143727833
2020,E02,2326.9251155890793
2020,F01,919.2299169235303
2020,G01,8074.949590098459
2020,H01,298.2532959114519
2020,H02,7962.998151310939
2020,H03,135.09928186018206
2020,H04,31.94299095343578
2020,H05,674.6560323667107
2020,,-1055.1383029737601
2021,A01,6468.318913003086
2021,A02,4346.131906271167
2021,B01,2408.738368332668
2021,B03,19135.315806657898
2021,B031,2075.439944950134
2021,B032,3039.928061502514
2021,B033,1017.2039416277526
2021,B04,937.6325738818217
2021,C01,86268.21510208645
2021,D01,1145.524982068151
2021,D02,3093.8958258380962
2021,E01,1164.3408373462962
2021,E02,2450.2906869088015
2021,F01,535.6552046322787
2021,G01,8615.215007728386
2021,H01,351.45638296028915
2021,H02,7949.285598935172
2021,H03,299.54269782889895
2021,H04,52.204879628505196
2021,H05,464.27521120414605
2021,,-1170.2829279158896
2022,A01,7391.850852736137
2022,A02,3055.9839305363853
2022,B01,2263.2806155040025
2022,B03,12980.473002720557
2022,B031,1303.1604444117365
2022,B032,3903.8429192330937
2022,B033,994.0669604170828
2022,B04,472.6146175330664
2022,C01,108578.02643531338
2022,D01,1219.3028905936726
2022,D02,2999.6995938572077
2022,E01,1292.7178047098553
2022,E02,2556.2906721318113
2022,F01,108.70557244685355
2022,G01,8310.56915897811
2022,H01,264.07942770316095
2022,H02,24195.543261750994
2022,H03,1473.5373279900937
2022,H04,360.15284449999496
2022,H05,1775.451572592352
2022,H06,122.25548422221539
2022,,-1386.708464813206
